Entrez ID	Symbol	Type	Entrez.ID
9334	B4GALT5	best inferred	9334
9331	B4GALT6	best inferred	9331
9332	CD163	best inferred	9332
9337	CNOT8	best inferred	9337
9330	GTF3C3	best inferred	9330
9328	GTF3C5	best inferred	9328
9329	GTF3C4	best inferred	9329
8013	NR4A3	best inferred	8013
9344	TAOK2	best inferred	9344
22911	WDR47	best inferred	22911
9342	SNAP29	best inferred	9342
22913	RALY	best inferred	22913
9348	NDST3	best inferred	9348
22915	MMRN1	best inferred	22915
22916	NCBP2	best inferred	22916
10928	RALBP1	best inferred	10928
56252	YLPM1	best inferred	56252
56253	CRTAM	best inferred	56253
9341	VAMP3	best inferred	9341
56259	CTNNBL1	best inferred	56259
10933	MORF4L1	best inferred	10933
10935	PRDX3	best inferred	10935
56255	TMX4	best inferred	56255
57586	SYT13	best inferred	57586
10938	EHD1	best inferred	10938
56257	MEPCE	best inferred	56257
22907	DHX30	best inferred	22907
22908	SACM1L	landmark	22908
22909	FAN1	best inferred	22909
10930	APOBEC2	best inferred	10930
9355	LHX2	best inferred	9355
22921	MSRB2	best inferred	22921
9353	SLIT2	best inferred	9353
9354	UBE4A	best inferred	9354
22924	MAPRE3	best inferred	22924
8028	MLLT10	best inferred	8028
22925	PLA2R1	best inferred	22925
8029	CUBN	best inferred	8029
22926	ATF6	landmark	22926
22927	HABP4	best inferred	22927
8027	STAM	best inferred	8027
9358	ITGBL1	best inferred	9358
22928	SEPHS2	best inferred	22928
10939	AFG3L2	best inferred	10939
9351	SLC9A3R2	best inferred	9351
8021	NUP214	best inferred	8021
9352	TXNL1	best inferred	9352
22920	KIFAP3	best inferred	22920
56260	C8orf44	best inferred	56260
57591	MKL1	best inferred	57591
10943	MSL3	best inferred	10943
10942	PRSS21	best inferred	10942
10945	KDELR1	best inferred	10945
10944	C11orf58	best inferred	10944
10947	AP3M2	best inferred	10947
57596	BEGAIN	best inferred	57596
10946	SF3A3	best inferred	10946
10949	HNRNPA0	best inferred	10949
56267	KYAT3	best inferred	56267
10948	STARD3	best inferred	10948
57599	WDR48	best inferred	57599
22918	CD93	best inferred	22918
22919	MAPRE1	best inferred	22919
8019	BRD3	best inferred	8019
10940	POP1	best inferred	10940
8036	SHOC2	best inferred	8036
9367	RAB9A	best inferred	9367
9364	RAB28	best inferred	9364
8034	SLC25A16	best inferred	8034
9365	KL	best inferred	9365
9368	SLC9A3R1	best inferred	9368
8038	ADAM12	best inferred	8038
9369	NRXN3	best inferred	9369
10907	TXNL4A	best inferred	10907
10906	TRAFD1	best inferred	10906
10908	PNPLA6	best inferred	10908
8031	NCOA4	best inferred	8031
9362	CPNE6	best inferred	9362
93210	PGAP3	best inferred	93210
9363	RAB33A	best inferred	9363
9360	PPIG	best inferred	9360
56270	WDR45B	best inferred	56270
8030	CCDC6	best inferred	8030
9361	LONP1	best inferred	9361
56271	BEX4	best inferred	56271
10912	GADD45G	best inferred	10912
10914	PAPOLA	best inferred	10914
10913	EDAR	best inferred	10913
10916	MAGED2	best inferred	10916
10915	TCERG1	landmark	10915
9377	COX5A	best inferred	9377
9378	NRXN1	best inferred	9378
22900	CARD8	best inferred	22900
9375	TM9SF2	landmark	9375
8045	RASSF7	best inferred	8045
